name,address,terminal
site 1,CM1 3FF,Seal Sands
site 2,CM2 5AA,West London
site 3,CM2 5AE,North Tees
site 4,CM2 5AR,North Tees
site 5,CM2 5AS,IPC
site 6,CM2 5EF,North Tees
site 7,CM2 5EZ,Seal Sands
site 8,CM2 5LB,Seal Sands
site 9,CM2 5LG,Kingsbury
site 10,CM2 5PA,IPC
site 11,CM2 5PB,Kingsbury
site 12,CM2 5PD,Grangemouth
site 13,CM2 5PF,Kingsbury
site 14,CM2 5PG,West London
site 15,CM2 5PH,Thames
site 16,CM2 5PJ,Bramhall
site 17,CM2 5PL,North Tees
site 18,CM2 5PP,North Tees
site 19,CM2 5PR,Grangemouth
site 20,CM2 5PS,Bramhall
site 21,CM2 5PU,Kingsbury
site 22,CM2 5PW,Grangemouth
site 23,CM2 5PX,Grangemouth
site 24,CM2 5PY,Grangemouth
